timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
1864000,1696000,28.452394800000004,-13.8671276,-2.7375231e-06,1.1868397e-06,-1.572266e-06,-1.3456633e-06,9.890279e-07,0.0,-0.00039191317,-0.0001245384,-0.0007489166,-0.0007503313,-0.00033641583,0.00024725695,0.0,-0.017123993,-0.09398148,-0.1838263,0.40708607,0.0,0.10000157,0.0007489166,0.70622146,2.0000088,7.071068,0.7500069,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
1960000,1696000,28.452394800000004,-13.8671276,-6.5846216e-05,-7.897402e-05,0.0005425429,-1.3456633e-06,9.890279e-07,0.0,-0.0007578951,-0.0015987492,-0.015251191,-0.014262909,-0.00033641583,0.00024725695,0.0,-0.047330044,0.006343194,-0.19771884,0.40295675,0.0,0.12464648,0.015251191,0.42634213,0.8952507,5.7642403,0.7500481,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
2064000,1696000,28.452394800000004,-13.8671276,-0.00018812013,-0.00025918687,0.007000407,-1.3456633e-06,9.890279e-07,0.0,-0.00059882633,-0.0010472424,-0.03561429,-0.026081938,-0.00033641583,0.00024725695,0.0,0.021355808,0.03216502,-0.06026588,0.40317577,0.0,0.12780924,0.03561429,0.38266578,0.6367973,3.1554708,0.7490848,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
2160000,1696000,28.452394800000004,-13.8671276,-0.00016854187,-0.00029764054,0.010224501,-1.3456633e-06,9.890279e-07,0.0,0.0012886504,0.00011107286,-0.052309852,-0.035988674,-0.00033641583,0.00024725695,0.0,0.072396316,0.02339792,-0.1238156,0.40348008,0.0,0.12744851,0.052309852,0.35334107,0.546036,2.002166,0.74653256,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
2264000,1696000,28.452394800000004,-13.8671276,3.0789233e-05,-0.00018841316,0.008356703,-1.3456633e-06,9.890279e-07,0.0,0.002556695,0.0010465018,-0.0726043,-0.052324537,-0.00033641583,0.00024725695,0.0,0.061508324,0.12832332,-0.1104772,0.40374723,0.0,0.12931632,0.0726043,0.33364946,0.49583638,1.3940449,0.74172,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
2360000,1696000,28.452394800000004,-13.8671276,0.0004917385,0.00015172447,0.002367324,-1.3456633e-06,9.890279e-07,0.0,0.006620862,0.003025932,-0.087033294,-0.065888084,-0.00033641583,0.00024725695,0.0,0.05398932,0.023961954,-0.14346744,0.40423432,0.0,0.1353057,0.087033294,0.28297383,0.45422718,0.9797617,0.7308938,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
2464000,1696000,28.452394800000004,-13.8671276,0.0016484903,0.00040823146,-0.0066310237,-1.3456633e-06,9.890279e-07,0.0,0.01271488,0.0013689428,-0.10304668,-0.08198154,-0.00033641583,0.00024725695,0.0,0.011835771,0.0022412713,-0.0805743,0.40487775,0.0,0.14430404,0.10304668,0.27360266,0.4428809,0.77999157,0.719369,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
2560000,1696000,28.452394800000004,-13.8671276,0.0031978425,0.00055149966,-0.016121672,-1.3456633e-06,9.890279e-07,0.0,0.01994491,0.0009157933,-0.11922689,-0.098033994,-0.00033641583,0.00024725695,0.0,0.02711758,-0.031780783,-0.12024119,0.405451,0.0,0.15379469,0.11922689,0.24397014,0.42742136,0.61370313,0.69915473,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
2664000,1696000,28.452394800000004,-13.8671276,0.0054562176,0.0006824947,-0.026851078,-1.3456633e-06,9.890279e-07,0.0,0.02764169,0.0023213227,-0.13388754,-0.11154593,-0.00033641583,0.00024725695,0.0,0.13067614,0.03140098,-0.20110606,0.40584186,0.0,0.1645241,0.13388754,0.22572519,0.4211997,0.5049081,0.674647,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
2760000,1696000,28.452394800000004,-13.8671276,0.007953421,0.0008535674,-0.037185326,-1.3456633e-06,9.890279e-07,0.0,0.031971946,0.0026039644,-0.14435543,-0.1206976,-0.00033641583,0.00024725695,0.0,0.042460885,-0.052268345,-0.21273455,0.40580758,0.0,0.17485835,0.14435543,0.21856122,0.42407495,0.44483066,0.65283406,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
